Designator,Mid X,Mid Y,Rotation,Layer
D13,234.015,-16.92,-90.0,top
D9,178.015,-37.0,0.0,top
R1,4.015,-32.0,-90.0,top
J+9,240.9575,-14.0,-90.0,top
J6,107.9,-17.0,90.0,top
J1,2.9,-17.0,90.0,top
D4,49.015,-30.0,-90.0,top
Q3,95.015,-30.0,-90.0,top
K1,24.015,-37.0,180.0,top
Q4,137.015,-30.0,-90.0,top
J+5,234.0,-36.0,0.0,top
R3,60.015,-32.0,-90.0,top
R9,186.015,-32.0,-90.0,top
Q2,53.015,-30.0,-90.0,top
K5,171.015,-37.0,180.0,top
R5,102.015,-32.0,-90.0,top
C2,239.520348,-27.447932,90.0,top
D12,217.015,-30.0,-90.0,top
K3,87.015,-37.0,180.0,top
R4,57.015,-32.0,-90.0,top
Q1,11.015,-30.0,-90.0,top
R10,183.015,-32.0,-90.0,top
K6,213.015,-37.0,180.0,top
J3,44.9,-17.0,90.0,top
K2,45.015,-37.0,180.0,top
Q6,221.015,-30.0,-90.0,top
J7,128.9,-17.0,90.0,top
J4,65.9,-17.0,90.0,top
R8,141.015,-32.0,-90.0,top
R11,228.015,-32.0,-90.0,top
J56,194.5,-36.0,0.0,top
J5,86.9,-17.0,90.0,top
D10,175.015,-30.0,-90.0,top
J9,170.9,-17.0,90.0,top
D2,15.515,-30.0,-90.0,top
J10,191.9,-17.0,90.0,top
U1,245.083864,-19.857857,-90.0,top
R7,144.015,-32.0,-90.0,top
J11,212.9,-17.0,90.0,top
D3,52.015,-37.0,0.0,top
J34,110.0,-36.0,0.0,top
C1,238.363198,-19.786801,0.0,top
K4,129.015,-37.0,180.0,top
D1,10.015,-37.0,0.0,top
R2,7.015,-32.0,-90.0,top
J8,149.9,-17.0,90.0,top
D8,133.015,-30.0,-90.0,top
D6,91.015,-30.0,-90.0,top
D7,136.015,-37.0,0.0,top
R6,99.015,-32.0,-90.0,top
D11,220.015,-37.46,0.0,top
Q5,179.015,-30.0,-90.0,top
J12,30.5,-36.0,0.0,top
J2,23.9,-17.0,90.0,top
R12,225.015,-32.0,-90.0,top
D5,94.015,-37.0,0.0,top
